Wie viele Klassen gibt es in der Schule?;31;25;42;30;26;Es gibt heuer zum ersten mal 7 erste Klassen.;Allgemein;How many classes are in our school?;31;25;42;30;26;This year 7 first classes
Wie viele Lehrer gibt es in der Schule?;88;95;82;69;76;Die Zahl, die aufgerundet auf Wikipedia steht.;Allgemein;How many teachers are in our school?;88;95;82;69;76;The number on wikipedia, but rounded up.
Welche Farbe steht für die Informatik-Abteilung?;blau;rot;gelb;violett;grün;Suche ein auf Informatik bezogenes Schild.;Allgemein;What color has the Computing department?;blue;red;yellow;violet;green;Look for a computing sign
Welche Farbe steht für die Automatisierungs-Abteilung?;rot;blau;gelb;violett;grün;Suche ein auf Automatisierung bezogenes Schild.;Allgemein;What color has the Automation department?;red;blue;yellow;violet;green;Look for an automation sign
Welche Farbe steht für die Mechatronik-Abteilung?;gelb;rot;blau;violett;grün;Suche ein auf Mechatronik bezogenes Schild.;Allgemein;What color has the Mechatronics department?;yellow;red;blue;violet;green;Look for a mechatronics sign
Wo darf man in der Schule rauchen?;nirgends;im Raucherraum;im Schulhof;am Klo;im Buffet-Bereich;Es gelten die gleichen Regeln wie auf einer Ölbohrinsel.;Allgemein;Where in the school is smoking allowed?;nowhere;in the smoking area;at the playground;on the toilets;at the cafeteria;Same rules as with on a offshore oil rig
Was ist der größte Raum der Schule?;Turnsaal;Chemiesaal;CISCO-Labor;Konferenzraum;Serverraum;Wahrscheinlich wurde dir dieser Raum nicht gezeigt.;Allgemein;Which one is the biggest room in the school?;gym hall;CISCO-Lab;chemistry lab;conference room;server room;Probalby no one showed you this room
Wie lange gibt es die Schule schon?;21;20;18;24;23;Letzes Jahr war ein rundes Jubiläum der Schule.;Entstehungsgeschichte;For how many years does this school exist?;21;18;20;23;24;We had an anniversary last year
Wie viele Lehrer unterrichten schon von Anfang an?;12;25;5;34;19;Bitte einen Lehrer um Rat.;Entstehungsgeschichte;How many teachers have been at this school since the beginning?;12;25;5;34;19;Ask a teacher
Wie hieß der erste Direktor?;Hansjörg Trummer;Günter Schweigler;Gerold Haynaly;Gerhard Gugerbauer;Alfred Köppel;GOOGLE!;Entstehungsgeschichte;What's the name of our first Headmaster?;Hansjörg Trummer;Günter Schweigler;Gerold Haynaly;Gerhard Gugerbauer;Alfred Köppel;GOOGLE!
Welche Programmiersprache lernt man bereits im 1. Jahr?;Java;C;C++;C#;Assembler;Lehrer oder Schüler im Spielecorner können dir sicher helfen.;Informatik;Which programming language do you learn from the 1st year on?;Java;C;C++;C#;Assambler;The teachers and students at the GamesCorner can help you
Wie viele Informatikklassen gibt es heuer?;16;12;19;5;15;"Zähle im Schulhaus die Klassen mit der Endung ""hif"".";Informatik;How many informatics classes are there this year?;16;12;19;5;15;"Count all classrooms in this building with the ending ""hif"""
Wann hat es das erste Mal 4 Informatikklassen gegeben?;heuer;voriges Jahr;vor 2 Jahren;vor 3 Jahren;vor 4 Jahren;Bitte einem Lehrer um Hilfe.;Informatik;When were there 4 informatics classes for the first time?;this year;last year;2 years ago;3 years ago;4 years ago;Ask a teacher for help
Welchen Gegenstand hat man in der 1. Klasse alle 2 Wochen?;TC4A;NVSU;DBI1;HGE6;Q0YT;Die Schüler und Lehrer im TINF-Lab können dir sicher helfen.;Informatik;Which subject do you have every 2 weeks in the afternoon in first form?;TC4A;NVSU;DBI2;HGE6;Q0YT;The students and teachers in TINF-Lab can help you
Welches Fach hat man nur die ersten 2 Jahre?;SOPK;SYP1;NVSU;VERT;Q0YT;Frage einen Lehrer oder Schüler der Informatik-Abteilung.;Informatik;Which subject do you have only in the first 2 years?;SOPK;SYP1;NVSU;VERT;Q0YT;Ask a teacher or student
Welche Sprache wird in den CLIL-Klassen häufiger gesprochen, als in anderen?;Englisch;Spanisch;Russisch;Französisch;Italienisch;Im EDV-Saal neben dem Spielecorner wirst du eine Antwort finden.;CLIL;Which language do people in CLIL-Classes speak more frequently?;English;Spanish;French;Russian;Italian;You'l find the answer in one of the Computer rooms
Ab welchem Jahrgang werden Präsentationen in Englisch gehalten?;1;2;3;4;5;Je früher, desto besser.;CLIL;When do people start giving presentations in English?;1. year;2. year;3. year;4. year;5. year;The sooner the better
Was muss man in einer CLIL-Klasse zusätzlich pro Semester machen?;Portfolio;Schularbeit;Präsentation;extra Hausübungen;Video drehen;Erkunde dich bei den Englisch-Lehrern oder Schülern der Englisch-Klassen.;CLIL;What do you have to do additonally if you're in a CLIL-Class?;portfolio;tests;more homework;shooting a video;presentations;Ask an engloshteacher or a a student from a CLIL class
Wohin fahren die CLIL-Klassen meistens auf ihrer Sprachreise?;New York City;London;Dublin;Edinburgh;Cardiff;Erkunde dich bei den Englisch-Lehrern oder Schülern der Englisch-Klassen.;CLIL;Where do CLIL-Classes mostly go to on their language trip?;New York City;London;Dublin;Edinburgh;Cardiff;Ask an engloshteacher or a a student from a CLIL class
Wie viele CLIL-Klassen gibt es heuer (nur 1. Klasse)?;2;1;3;4;5;Alle Klassen nach a und b sind CLIL-Klassen.;CLIL;How many CLIL-Classes are there this year (only first form)?;2;1;3;4;5;All classes after a and b
Wo findet der meiste Teil des Mechatronik-Unterrichts statt?;Arnfels;Kaindorf/Sulm;Leibnitz;Aflenz;Graz;Am gleichen Ort, wie sich das Internat befindet.;Mechatronik;Where do the lessons for mechatronics classes take place?;Arnfels;Kaindorf/Sulm;Leibnitz;Aflenz;Graz;Same place as the boarding school
Wie viele Klassen gibt es jedes Jahr in der Mechatronik?;1;2;3;4;5;Die Schüler der Mechatronikabteilung können dir sicher helfen.;Mechatronik;How many classes are there each year for mechatronics?;1;2;3;4;5;Students from the mechatronics department can help you
Seit wann gibt es die Mechatronik Abteilung?;seit 2002;seit 2005;seit 2000;seit 2009;seit 2013;Die Schüler der Mechatronikabteilung oder Wikipedia können dir helfen.;Mechatronik;Since when does the mechatronics department exist?;since 2002;since 2005;since 2000;since 2009;since 2013;Students from the mechatronics department can help you
Wie viele Tage verbringen die Mechatroniker pro Woche in Kaindorf?;1;2;3;4;5;Die Schüler der Mechatronikabteilung können dir sicher helfen.;Mechatronik;How many days are the mechatronics in Kaindorf every week?;1;2;3;4;5;Students from the mechatronics department can help you
